Plot Title: 20160401_-_2.5_m_-_Bethel,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20160401, SEN S/N: 20160401)","Intensity, lum/ft² (LGR S/N: 20160401, SEN S/N: 20160401)",Coupler Attached (LGR S/N: 20160401),Stopped (LGR S/N: 20160401),End Of File (LGR S/N: 20160401)
1,6/20/2024 12:00,38.714,160,,,
2,6/20/2024 13:00,38.714,152,,,
3,6/20/2024 14:00,39.276,216,,,
4,6/20/2024 15:00,39.843,256,,,
5,6/20/2024 16:00,40.071,400,,,
6,6/20/2024 17:00,40.185,512,,,
7,6/20/2024 18:00,39.843,224,,,
8,6/20/2024 19:00,39.502,272,,,
9,6/20/2024 20:00,39.05,26,,,
10,6/20/2024 21:00,38.602,6,,,
11,6/20/2024 22:00,38.379,5,,,
12,6/20/2024 23:00,38.157,5,,,
13,6/21/2024 0:00,37.935,4,,,
14,6/21/2024 1:00,37.714,4,,,
15,6/21/2024 2:00,37.494,4,,,
16,6/21/2024 3:00,37.384,4,,,
17,6/21/2024 4:00,37.274,4,,,
18,6/21/2024 5:00,37.165,4,,,
19,6/21/2024 6:00,37.055,9,,,
20,6/21/2024 7:00,36.946,17,,,
21,6/21/2024 8:00,37.274,160,,,
22,6/21/2024 9:00,37.494,136,,,
23,6/21/2024 10:00,37.494,102,,,
24,6/21/2024 11:00,37.604,160,,,
25,6/21/2024 12:00,37.714,128,,,
26,6/21/2024 13:00,38.268,256,,,
27,6/21/2024 14:00,38.49,176,,,
28,6/21/2024 15:00,39.05,368,,,
29,6/21/2024 16:00,39.843,464,,,
30,6/21/2024 17:00,39.163,400,,,
31,6/21/2024 18:00,39.389,192,,,
32,6/21/2024 19:00,38.826,64,,,
33,6/21/2024 20:00,38.379,17,,,
34,6/21/2024 21:00,38.046,6,,,
35,6/21/2024 22:00,37.824,4,,,
36,6/21/2024 23:00,37.604,4,,,
37,6/22/2024 0:00,37.494,4,,,
38,6/22/2024 1:00,37.384,3,,,
39,6/22/2024 2:00,37.165,4,,,
40,6/22/2024 3:00,37.055,3,,,
41,6/22/2024 4:00,36.946,3,,,
42,6/22/2024 5:00,36.837,3,,,
43,6/22/2024 6:00,36.728,6,,,
44,6/22/2024 7:00,36.62,19,,,
45,6/22/2024 8:00,36.728,105,,,
46,6/22/2024 9:00,36.946,117,,,
47,6/22/2024 10:00,36.946,144,,,
48,6/22/2024 11:00,37.604,256,,,
49,6/22/2024 12:00,37.494,184,,,
50,6/22/2024 13:00,37.824,160,,,
51,6/22/2024 14:00,38.268,272,,,
52,6/22/2024 15:00,38.379,176,,,
53,6/22/2024 16:00,38.602,304,,,
54,6/22/2024 17:00,38.826,216,,,
55,6/22/2024 18:00,38.826,152,,,
56,6/22/2024 19:00,38.379,66,,,
57,6/22/2024 20:00,37.824,18,,,
58,6/22/2024 21:00,37.604,6,,,
59,6/22/2024 22:00,37.274,5,,,
60,6/22/2024 23:00,37.055,5,,,
61,6/23/2024 0:00,36.946,4,,,
62,6/23/2024 1:00,36.728,4,,,
63,6/23/2024 2:00,36.511,4,,,
64,6/23/2024 3:00,36.403,4,,,
65,6/23/2024 4:00,36.295,4,,,
66,6/23/2024 5:00,36.187,4,,,
67,6/23/2024 6:00,36.079,9,,,
68,6/23/2024 7:00,36.079,43,,,
69,6/23/2024 8:00,36.079,54,,,
70,6/23/2024 9:00,36.946,116,,,
71,6/23/2024 10:00,37.055,114,,,
72,6/23/2024 11:00,36.62,104,,,
73,6/23/2024 12:00,36.946,116,,,
74,6/23/2024 13:00,37.384,128,,,
75,6/23/2024 14:00,38.046,136,,,
76,6/23/2024 15:00,38.602,200,,,
77,6/23/2024 16:00,39.05,168,,,
78,6/23/2024 17:00,39.389,368,,,
79,6/23/2024 18:00,39.276,512,,,
80,6/23/2024 19:00,38.938,272,,,
81,6/23/2024 20:00,38.49,24,,,
82,6/23/2024 21:00,38.046,6,,,
83,6/23/2024 22:00,37.824,5,,,
84,6/23/2024 23:00,37.604,5,,,
85,6/24/2024 0:00,37.384,5,,,
86,6/24/2024 1:00,37.274,4,,,
87,6/24/2024 2:00,37.055,4,,,
88,6/24/2024 3:00,36.837,4,,,
89,6/24/2024 4:00,36.728,4,,,
90,6/24/2024 5:00,36.511,4,,,
91,6/24/2024 6:00,36.403,8,,,
92,6/24/2024 7:00,36.403,32,,,
93,6/24/2024 8:00,36.511,105,,,
94,6/24/2024 9:00,36.728,176,,,
95,6/24/2024 10:00,36.728,152,,,
96,6/24/2024 11:00,37.494,288,,,
97,6/24/2024 12:00,37.494,272,,,
98,6/24/2024 13:00,37.935,224,,,
99,6/24/2024 14:00,38.379,256,,,
100,6/24/2024 15:00,39.163,448,,,
101,6/24/2024 16:00,39.729,124,,,
102,6/24/2024 17:00,39.843,128,,,
103,6/24/2024 18:00,40.185,85,,,
104,6/24/2024 19:00,39.615,52,,,
105,6/24/2024 20:00,39.05,17,,,
106,6/24/2024 21:00,38.602,6,,,
107,6/24/2024 22:00,38.49,5,,,
108,6/24/2024 23:00,38.157,5,,,
109,6/25/2024 0:00,37.824,5,,,
110,6/25/2024 1:00,37.604,5,,,
111,6/25/2024 2:00,37.384,4,,,
112,6/25/2024 3:00,37.384,4,,,
113,6/25/2024 4:00,37.274,4,,,
114,6/25/2024 5:00,37.055,4,,,
115,6/25/2024 6:00,36.946,9,,,
116,6/25/2024 7:00,37.055,68,,,
117,6/25/2024 8:00,36.946,44,,,
118,6/25/2024 9:00,37.165,90,,,
119,6/25/2024 10:00,37.274,125,,,
120,6/25/2024 11:00,37.604,200,,,
121,6/25/2024 12:00,38.046,184,,,
122,6/25/2024 13:00,38.379,256,,,
123,6/25/2024 14:00,38.714,184,,,
124,6/25/2024 15:00,39.163,124,,,
125,6/25/2024 16:00,39.729,384,,,
126,6/25/2024 17:00,39.389,114,,,
127,6/25/2024 18:00,38.379,11,,,
128,6/25/2024 19:00,38.046,10,,,
129,6/25/2024 20:00,37.824,26,,,
130,6/25/2024 21:00,37.494,5,,,
131,6/25/2024 22:00,37.384,5,,,
132,6/25/2024 23:00,37.165,4,,,
133,6/26/2024 0:00,37.055,4,,,
134,6/26/2024 1:00,36.946,4,,,
135,6/26/2024 2:00,36.837,4,,,
136,6/26/2024 3:00,36.62,4,,,
137,6/26/2024 4:00,36.295,4,,,
138,6/26/2024 5:00,36.187,4,,,
139,6/26/2024 6:00,36.079,4,,,
140,6/26/2024 7:00,35.971,7,,,
141,6/26/2024 8:00,35.864,22,,,
142,6/26/2024 9:00,35.864,40,,,
143,6/26/2024 10:00,36.511,144,,,
144,6/26/2024 11:00,36.511,128,,,
145,6/26/2024 12:00,36.62,200,,,
146,6/26/2024 13:00,36.728,144,,,
147,6/26/2024 14:00,37.055,75,,,
148,6/26/2024 15:00,37.384,98,,,
149,6/26/2024 16:00,37.824,352,,,
150,6/26/2024 17:00,38.268,512,,,
151,6/26/2024 18:00,38.046,448,,,
152,6/26/2024 19:00,37.604,232,,,
153,6/26/2024 20:00,37.165,18,,,
154,6/26/2024 21:00,36.946,6,,,
155,6/26/2024 22:00,36.837,5,,,
156,6/26/2024 23:00,36.62,5,,,
157,6/27/2024 0:00,36.511,4,,,
158,6/27/2024 1:00,36.403,4,,,
159,6/27/2024 2:00,36.295,4,,,
160,6/27/2024 3:00,36.187,4,,,
161,6/27/2024 4:00,36.079,4,,,
162,6/27/2024 5:00,35.971,4,,,
163,6/27/2024 6:00,35.864,9,,,
164,6/27/2024 7:00,35.971,57,,,
165,6/27/2024 8:00,36.079,72,,,
166,6/27/2024 9:00,36.837,71,,,
167,6/27/2024 10:00,36.62,368,,,
168,6/27/2024 11:00,36.837,272,,,
