Plot Title: 20160401_-_2.5_m_-_Bethel,,,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 20160401, SEN S/N: 20160401)","Intensity, lum/ft² (LGR S/N: 20160401, SEN S/N: 20160401)",Coupler Attached (LGR S/N: 20160401),Stopped (LGR S/N: 20160401),End Of File (LGR S/N: 20160401)
169,6/27/2024 12:00,37.274,256,,,
170,6/27/2024 13:00,37.494,121,,,
171,6/27/2024 14:00,37.935,136,,,
172,6/27/2024 15:00,38.49,128,,,
173,6/27/2024 16:00,39.276,144,,,
174,6/27/2024 17:00,39.276,152,,,
175,6/27/2024 18:00,39.276,61,,,
176,6/27/2024 19:00,38.268,28,,,
177,6/27/2024 20:00,38.046,10,,,
178,6/27/2024 21:00,37.714,5,,,
179,6/27/2024 22:00,37.494,5,,,
180,6/27/2024 23:00,37.274,5,,,
181,6/28/2024 0:00,37.055,4,,,
182,6/28/2024 1:00,36.837,4,,,
183,6/28/2024 2:00,36.62,4,,,
184,6/28/2024 3:00,36.403,4,,,
185,6/28/2024 4:00,36.295,4,,,
186,6/28/2024 5:00,36.187,4,,,
187,6/28/2024 6:00,36.079,5,,,
188,6/28/2024 7:00,35.971,14,,,
189,6/28/2024 8:00,35.971,39,,,
190,6/28/2024 9:00,35.864,59,,,
191,6/28/2024 10:00,35.864,83,,,
192,6/28/2024 11:00,35.864,107,,,
193,6/28/2024 12:00,36.079,136,,,
194,6/28/2024 13:00,35.864,54,,,
195,6/28/2024 14:00,35.756,43,,,
196,6/28/2024 15:00,35.756,55,,,
197,6/28/2024 16:00,35.649,51,,,
198,6/28/2024 16:32,,,Logged,,
199,6/28/2024 16:33,,,,Logged,Logged
